user: user_46        op: LEAVE     	OK 
user: user_18        op: STORE     	OK 
user: user_52        op: REGISTER  	KO 17 (File exists) 
user: user_52        op: STORE     	OK 
user: user_18        op: LEAVE     	OK 
user: user_32        op: STORE     	OK 
user: user_51        op: REGISTER  	KO 17 (File exists) 
user: user_52        op: STORE     	OK 
user: user_32        op: STORE     	OK 
user: user_51        op: STORE     	OK 
user: user_44        op: STORE     	OK 
user: user_44        op: LEAVE     	OK 
user: user_51        op: STORE     	OK 
user: user_41        op: REGISTER  	KO 17 (File exists) 
user: user_40        op: REGISTER  	KO 17 (File exists) 
user: user_39        op: REGISTER  	KO 17 (File exists) 
user: user_19        op: STORE     	OK 
user: user_49        op: REGISTER  	KO 17 (File exists) 
user: user_19        op: LEAVE     	OK 
user: user_37        op: STORE     	OK 
user: user_40        op: STORE     	OK 
user: user_41        op: STORE     	OK 
user: user_37        op: LEAVE     	OK 
user: user_40        op: STORE     	OK 
user: user_49        op: STORE     	OK 
user: user_49        op: STORE     	OK 
user: user_53        op: REGISTER  	KO 17 (File exists) 
user: user_53        op: STORE     	OK 
user: user_41        op: STORE     	OK 
user: user_53        op: STORE     	OK 
user: user_39        op: STORE     	OK 
user: user_40        op: STORE     	OK 
user: user_39        op: STORE     	OK 
user: user_40        op: LEAVE     	OK 
user: user_49        op: STORE     	OK 
user: user_49        op: LEAVE     	OK 
user: user_48        op: REGISTER  	KO 17 (File exists) 
user: user_45        op: REGISTER  	KO 17 (File exists) 
user: user_54        op: REGISTER  	KO 17 (File exists) 
user: user_47        op: REGISTER  	KO 17 (File exists) 
user: user_34        op: STORE     	OK 
user: user_54        op: STORE     	OK 
user: user_34        op: LEAVE     	OK 
user: user_47        op: STORE     	OK 
user: user_45        op: STORE     	OK 
user: user_47        op: STORE     	OK 
user: user_54        op: STORE     	OK 
user: user_45        op: STORE     	OK 
user: user_66        op: REGISTER  	KO 17 (File exists) 
user: user_41        op: STORE     	OK 
user: user_48        op: STORE     	OK 
user: user_48        op: STORE     	OK 
user: user_39        op: STORE     	OK 
user: user_66        op: STORE     	OK 
user: user_39        op: LEAVE     	OK 
user: user_41        op: LEAVE     	OK 
user: user_62        op: REGISTER  	KO 17 (File exists) 
user: user_48        op: STORE     	OK 
user: user_48        op: LEAVE     	OK 
user: user_66        op: STORE     	OK 
user: user_47        op: STORE     	OK 
user: user_59        op: REGISTER  	KO 17 (File exists) 
user: user_68        op: REGISTER  	KO 17 (File exists) 
user: user_58        op: REGISTER  	KO 17 (File exists) 
user: user_45        op: STORE     	OK 
user: user_47        op: LEAVE     	OK 
user: user_54        op: STORE     	OK 
user: user_63        op: REGISTER  	KO 17 (File exists) 
user: user_63        op: STORE     	OK 
user: user_58        op: STORE     	OK 
